id,population,pop_density,pct_immigrants,bachelor_above,median_earnings,employment,employ_rate_15plus,employ_rate_25_54,pop_density_cuberoot,population_cuberoot
3512,130474,21.8,8,11.5,37619,36885,58.2,80.2,2.793522441,50.71946443
3513,25496,24.3,9.5,17.2,35363,6865,55.4,80.9,2.896468154,29.43228748
3514,80963,42.5,11,13.7,41187,22955,57.7,82.3,3.489766023,43.26089805
3515,133080,35,9.5,17.8,40583,36915,57.6,80.5,3.27106631,51.05491969
3516,74561,24.4,8.2,11.2,39933,20610,57.6,81.3,2.900435923,42.08919066
3518,561258,222.4,20.3,18.8,49823,185650,66.5,83.8,6.058683431,82.48738099
3519,892712,506.7,42.9,33.2,48943,286815,66.7,83.3,7.972300033,96.28762121
3520,2503281,3972.4,50,37.4,43291,708220,60.1,78,15.837416,135.7802282
3521,1159405,933.2,48.6,28.6,44007,371635,67,82.4,9.772182673,105.0537895
3522,54436,36.6,12.9,14,45543,18520,70.2,86,3.320170311,37.89908589
3523,200425,75.4,17,24.9,45132,67915,68.3,85.5,4.224647217,58.52174904
3524,439256,454.2,24.8,33.1,53958,149455,68.5,85.5,7.686861273,76.01615538
3525,504559,451.6,25.4,20,43970,147395,60.4,79.9,7.672165767,79.61055515
3526,427421,230.5,18,16.8,41087,123560,60.7,81.9,6.131362263,75.32722212
3528,107812,37.3,11.1,10.5,41517,31730,62.3,82.5,3.341203625,47.59438297
3529,125099,114.5,12.9,14,41706,39570,63.7,82.5,4.855886147,50.01319652
3530,478121,349.3,22.3,23.2,44281,160760,67.6,84.1,7.042597397,78.19505205
3531,74344,33.5,9.4,12.9,39130,24980,69.5,88,3.223652864,42.04831929
3532,102756,50.4,10.9,11.4,42054,33705,66,85.3,3.693829501,46.83843727
3534,85351,45.4,13.2,11,41077,26220,64.2,83,3.567401174,44.02873467
3536,108589,44,10.1,11.2,40888,32260,61,80.8,3.530348335,47.7084468
3537,393402,212.5,22.4,20.6,47328,111070,59.6,78.1,5.96741596,73.27326118
3538,128204,42.7,11.6,13.3,43468,36770,60.1,80.9,3.495231602,50.42360111
3539,422333,127.3,20,23.8,42266,132770,63.4,81.3,5.030480477,75.02713093
3540,59325,17.5,8,9.9,36349,17990,64.5,84.5,2.596247051,39.00131488
3541,65349,16,8.2,13.6,40054,18565,60.7,82.8,2.5198421,40.27908986
3542,92411,20.5,8.6,13.8,36035,26900,61.2,83.3,2.736851837,45.21069917
3543,422204,87.2,12.3,14.8,43777,132600,64.6,84.1,4.434440462,75.01949123
3544,57563,14.8,8.4,16.2,38201,16425,61.1,85.4,2.455202052,38.61130438
3546,16147,4,9.3,12.2,32709,3645,50.4,79.6,1.587401052,25.27535603
3547,97545,13.2,6.1,12.6,41231,27845,58.3,79.8,2.363331501,46.03290022
3548,84688,5,5.1,15.2,40049,22410,55.1,76.2,1.709975947,43.91443426
3549,40918,4.4,7.7,12.2,37349,10245,53.8,80.7,1.638642541,34.45916895
3551,13090,2.8,4.9,11.9,33995,2580,49.9,72.8,1.409459746,23.56748371
3552,21392,0.6,3.7,8.2,44148,4855,50,71.7,0.843432665,27.75985095
3553,157909,49.2,6.7,16.5,45124,43610,58.1,79.3,3.664277599,54.05082093
3554,33283,2.5,4.1,9.5,39485,8480,53.7,76.5,1.357208808,32.16677256
3556,82503,0.6,3.2,10.2,45902,22400,56.9,77,0.843432665,43.53346612
3557,117461,2.4,9.7,15.4,43279,29445,52.3,76.8,1.3388659,48.97388585
3558,149063,1.4,9.6,17.7,45685,40795,58.5,78.6,1.118688942,53.02206273
3559,21564,1.4,7.4,11.8,44702,5775,59.1,81.4,1.118688942,27.83405244
3560,64419,0.2,4.4,10.9,41376,16910,58.5,76.4,0.584803548,40.08710186
4601,17476,1.2,10.3,11.7,35732,4350,55.4,80.8,1.062658569,25.95059652
4602,55886,12.7,12.2,11.7,33814,16730,70.1,85.3,2.333106554,38.23264481
4603,44873,8.5,16.6,9.8,31043,12435,67.1,83.4,2.040827551,35.53544037
4604,9380,2.1,2.8,8.6,25067,2585,66.1,84.3,1.280579165,21.08956456
4605,13301,1.6,3.4,10.8,27784,3890,65.5,89.5,1.169607095,23.69343881
